leafy vegetables,amarantharugula
,beet greens
,bok choy
,borage greens
,broccoli rabe
,brussels sprout
,cabbage
,catsear
,celery
,celtuce
,chaya
,chickweed
,chicory
,chinese mallow
,chrysanthemum
,collard greens
,common purslane
,corn salad
,purslane
,cress
,dandelion
,dill
,endive
,fat hen
,fiddlehead
,fluted pumpkin
,garden rocket
,golden samphire
,good king henry
,greater plantain
,kai-lan
,kale
,komatsuna
,kuka
,lagos bologi
,lamb's lettuce
,lamb's quarters
,land cress
,lettuce
,lizard's tail
,malabar spinach
,melokhia
,miner's lettuce
,mizuna greens
,mustard
,napa cabbage
,new zealand spinach
,orache
,pak choy
,paracress
,pea sprouts
,pea leaves
,poke
,radicchio
,samphire
,sculpit
,stridolo
,sea beet
,sea kale
,sierra leone bologi
,soko
,sorrel
,spinach
,summer purslane
,swiss chard
,tatsoi
,turnip
,turnip greens
,watercress
,water spinach
,wheatgrass
,winter purslane
,yarrow
,yao choy
Fruits,avocado
,bell pepper
,bitter melon
,bitter gourd
,chayote
,cucumber
,ivy gourd
,eggplant
,aubergine
,brinjal
,luffa
,olive fruit
,pumpkin
,squash
,sweet corn
,corn salad
,maize
,sweet pepper
,tinda
,tomatillo
,tomato
,vanilla
,west indian gherkin
,winter melon
,zucchini
,courgette
flowers,artichoke
,broccoli
,caper
,cauliflower
,courgette flowers
,squash blossoms
legumes,american groundnut
,azuki bean
,black-eyed pea
,chickpea
,common bean
,drumstick
,dolichos bean
,fava bean
,garbanzo bean
,garbanzo
,green bean
,guar
,horse gram
,indian pea
,lentil
,lima bean
,moth bean
,mung bean
,okra
,pea
,peanut
,pigeon pea
,ricebean
,runner bean
,snap pea
,snow pea
,soybean
,tarwi
,tepary bean
,urad bean
,velvet bean
,winged bean
,yardlong
stem vegetables,asparagus
,cardoon
,celeriac
,celery
,chives
,elephant garlic
,florence fennel
,garlic
,garlic chives
,kohlrabi
,kurrat
,lemongrass
,leek
,lotus root
,nopal
,onion
,pearl onion
,potato onion
,prussian asparagus
,spring onion
,scallion
,shallot
,teree onion
,welsh onion
,wild leek
root vegetables,ahipa
,arracacha
,bamboo shoot
,beetroot
,burdock
,broadleaf arrowhead
,camas
,canna
,carrot
,cassava
,chinese artichoke
,daikon
,earthnut pea
,elephant foot yam
,ensete
,galangal
,ginger
,hamburg parsley
,horseradish
,jerusalem artichoke
,jicama
,mashua
,parsnip
,pignut
,potato onion
,prairie turnip
,radish
,rutabaga
,salsify
,scorzonera
,skirret
,swede
,sweet potato
,taro
,ti
,tigernut
,tumeric
,ulluco
,wasabi
,water caltrop
,water chestnut
,yacon
,yam
sea vegetables,aonori
,arame
,carola
,dabberlocks
,badderlocks
,dulse
,dillisk
,jijiki
,kombu
,laver
,gim
,mozuku
,nori
,ogonori
,sea grape
,sea lettuce
,wakame